,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_5_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_2_bytes,choices_0_logprobs_content_0_top_logprobs_8_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_11_bytes,choices_0_logprobs_content_0_top_logprobs_17_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IUrdRY9whBmyIpGLb5vDVoJF4Uty,length,0,2,-3.7697225e-06,2,-3.7697225e-06,**,-13.056967,Sam,-15.220732,Respond,-15.247963,1,-15.328339,"
",-15.609165,Based,-15.74803, ,-15.960676,Given,-16.089207,The,-16.401222,Since,-16.675734,２,-17.748623,`,-18.282833,3,-18.473587,​,-18.616356,She,-18.815645,\[,-18.81896,₂,-19.039536,Answer,-19.049221,,-19.0631,2,assistant,1714195573,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IUrdoWSJHnX0JhXqUrueRgv4nTvI,length,0,2,-1.342522e-05,2,-1.342522e-05,1,-11.735624,**,-12.931593,Since,-14.469551,Sam,-14.521774,Based,-14.604807,Despite,-14.961626,Respond,-15.318712,Given,-15.331848,The,-15.388281, ,-15.766706,"
",-15.830872,２,-16.918825,Although,-17.47531,Even,-17.58449,`,-18.05997,3,-18.070818,If,-18.118397,Though,-18.369482,\[,-18.397366,2,assistant,1714195573,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IUreYNsidElgOpHQeSq47pKEoJFD,length,0,3,-0.06741832,3,-0.06741832,2,-3.409776,1,-3.437524,Since,-13.297666,Sam,-13.668084,Given,-15.846009,**,-17.095959,If,-17.22408,"
",-17.763264,Based,-18.11262, ,-18.318487,Respond,-18.387152,The,-18.663662,She,-19.076986,Considering,-19.333174,Answer,-19.989073, Sam,-20.056463,I,-20.220562,4,-20.455465,[,-20.567873,3,assistant,1714195574,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,127,128,2,,,,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IUre0k20LeW5OLcVJXvZCJQbLF8H,length,0,1,-2.577686e-06,1,-2.577686e-06,**,-13.0192995,2,-15.119868,Based,-17.854197,"
",-17.947004,Sam,-18.08356,Given,-18.54693,Respond,-18.583708,The,-18.624205, ,-18.892324,１,-18.903856,Since,-19.34126,`,-19.943691,***,-20.051199,₁,-20.255453,According,-20.984495,0,-21.009476,​,-21.01909,,-21.046144,If,-21.12735,1,assistant,1714195574,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,157,158,3,,,,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IUrf8jAfrWdVCsxpsNt3RsNxkErp,length,0,1,-0.00025025356,1,-0.00025025356,2,-8.296495,**,-15.357304,The,-15.4725,"
",-15.90864,Sam,-16.66689, ,-16.734983,Respond,-16.821476,Based,-16.961267,Given,-17.093754,Since,-17.692806,3,-17.782578,１,-18.413132,Answer,-19.0441,If,-19.177866,To,-19.293451,Is,-19.427956,This,-19.797054,₁,-19.877388,`,-19.925608,1,assistant,1714195575,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IUrgX145jnYEbUu1IJFGou0bahx4,length,0,2,-6.869018e-06,2,-6.869018e-06,**,-12.225663,1,-14.356708,E,-14.642791,"
",-14.97903,İ,-16.523558,3,-16.692764,Po,-16.728806,Ç,-16.85361,`,-16.98945, ,-17.002007,Et,-17.308147,0,-17.566092,\(,-17.656982,Bu,-18.153452,"""",-18.298409,```,-18.500029,*,-18.896618,Y,-19.034676,4,-19.081692,2,assistant,1714195576,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IUrhot3TANc3CJxUQLdYsvclmvNb,length,0,2,-0.009433992,2,-0.009433992,1,-4.668698,**,-12.348011,E,-15.173819,"
",-15.6125145,Et,-16.28675,İ,-16.304144,Ç,-17.360174,Po,-17.757193, ,-17.828295,3,-17.925686,`,-18.117079,\(,-18.365175,Since,-19.06309,Bu,-19.106771,B,-19.315777,"""",-19.387398,S,-19.513023,```,-19.71909,Y,-19.763006,2,assistant,1714195577,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IUrhYVGfeBE3wgfQkkak1LkTzCLh,length,0,2,-0.07629678,2,-0.07629678,3,-2.6116896,1,-10.285092,E,-11.308192,**,-13.620376,"
",-14.542584,Po,-16.29176,Bel,-16.301966,Ç,-17.100925,Since,-17.383923,Et,-17.871386,"""E",-17.99975,İ,-18.406654, ,-18.560698,[E,-18.57511,Bu,-18.825598,\(,-19.169825,Ö,-19.305082,S,-19.658096,B,-19.661854,2,assistant,1714195577,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IUriux9Khz0Aqb5eUhcBWA6XcxuR,length,0,1,-0.003679648,1,-0.003679648,2,-5.6072946,E,-13.802967,**,-14.339281,"
",-16.020489,Ç,-16.717533,İ,-17.349815, ,-17.55641,3,-17.722706,ç,-18.684301,0,-18.723879,`,-18.899591,\(,-19.627632,Po,-19.691359,Ö,-20.077814,Bu,-20.17806,C,-20.389782,4,-20.4779,"

",-20.504436,I,-20.631418,1,assistant,1714195578,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IUriXjCaebvjWNpeKfBbEkA2qtXh,length,0,2,-0.32043582,2,-0.32043582,1,-1.2940457,**,-12.124295,Et,-13.898725,"
",-13.943929,E,-14.370614,Po,-16.633547,İ,-16.813921, ,-17.631784,3,-17.870306,\(,-17.978415,B,-18.561657,`,-18.723467,S,-18.803875,Ç,-18.846926,0,-18.87995,Bu,-19.084396,"

",-19.168736,The,-19.196917,Y,-19.265749,2,assistant,1714195578,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,,,,,
