,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_11_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_3_bytes,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_19_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IUf4f98r4y5lWXF0x45D52LWfhUh,length,0,2,-4.4849444e-06,2,-4.4849444e-06,**,-13.3924265,Since,-14.073373,Based,-14.448821,1,-14.74064,Given,-14.867972,Sam,-15.327325,"
",-15.871957,Respond,-16.004324,The,-16.152851, ,-16.18994,Despite,-17.044125,２,-17.741314,Considering,-18.136505,Although,-18.407831,`,-18.43587,If,-18.444267,3,-18.60222,\[,-18.841145,​,-18.921667,2,assistant,1714194794,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IUf4uE545osSAYLfur16GEBqPVz7,length,0,2,-4.9617593e-06,2,-4.9617593e-06,1,-13.036489,**,-13.494529,Sam,-15.031539,Since,-15.544372,Based,-15.603745,Respond,-15.90886,Despite,-15.9372,"
",-16.087677, ,-16.401329,The,-16.422455,Given,-16.503258,２,-17.18927,Although,-18.14536,Even,-18.603655,`,-18.697577,3,-18.743635,₂,-18.863619,​,-18.936804,Though,-19.20306,2,assistant,1714194794,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IUf55lJlOWrUbVch7MzNnkJKsBsD,length,0,3,-0.013433613,3,-0.013433613,2,-4.3210735,1,-9.793684,Since,-13.344379,Sam,-14.500193,Given,-16.548023,**,-17.31848,"
",-17.566435,If,-17.58404, ,-18.44334,Respond,-18.513063,Based,-19.030718,The,-19.521004,Considering,-19.87266, Sam,-20.22421,She,-20.340437,4,-20.602285,Answer,-20.624521,Ass,-20.76238,３,-20.867044,3,assistant,1714194795,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,127,128,2,,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IUf5X5eAcpHPYlQ4xhsrn39LkDlO,length,0,1,-3.4121115e-06,1,-3.4121115e-06,**,-12.801353,2,-14.909309,Sam,-17.48294,１,-17.766987, ,-18.012064,The,-18.025963,"
",-18.0346,Based,-18.08487,Respond,-18.183153,Given,-18.303654,`,-18.919878,₁,-19.198559,Since,-19.67017,\(,-19.888622,***,-19.966114,*,-20.33817,,-20.358774,\[,-20.43464,[,-20.530111,1,assistant,1714194795,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,157,158,3,,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IUf6t2VZhpeDL04xlQGJdiYUqBXj,length,0,1,-0.00020592446,1,-0.00020592446,2,-8.499077,**,-14.456881,The,-14.62125,Sam,-14.8176365,"
",-15.2458725,Respond,-15.654106, ,-16.032066,Based,-16.263212,Given,-16.868544,Since,-17.435873,3,-17.440094,１,-17.737755,Is,-18.097914,Answer,-18.179031,If,-18.38526,To,-18.50959,According,-18.805029,₁,-18.865051,This,-19.019978,1,assistant,1714194796,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IUf7fJGovnTCfDsJ1UAuNqbjL61l,length,0,2,-6.1537958e-06,2,-6.1537958e-06,**,-12.477154,1,-13.728937,E,-14.75725,"
",-15.669649,İ,-16.573137,3,-16.57729,Ç,-16.768341, ,-16.819588,\(,-17.17823,Po,-17.404047,`,-17.45129,Et,-17.695768,"""",-18.2291,Bu,-18.370167,0,-18.45394,```,-18.49313,{,-18.616686,２,-19.016905,\[,-19.048456,2,assistant,1714194797,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IUf70tcgnsfAvi7etC3aQ7z6FWrv,length,0,2,-0.019105904,2,-0.019105904,1,-3.9674473,**,-13.115927,E,-14.464159,"
",-15.478521,İ,-16.803839,Et,-16.809801,Po,-17.01732,3,-17.720675, ,-17.746447,Ç,-17.747398,Bu,-18.821207,Since,-18.8686,`,-18.911022,B,-19.135834,S,-19.27551,\(,-19.385492,"""",-19.428385,P,-19.429836,The,-19.444384,2,assistant,1714194797,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IUf8AZHEVy47JhjgFXLxXDiPEDHa,length,0,2,-0.17205991,2,-0.17205991,3,-1.8450869,E,-10.459995,1,-10.518755,"
",-13.399786,**,-13.604387,Bel,-14.872044,Po,-15.518539,Ç,-15.627523,Et,-15.689001,Since,-15.94969,İ,-16.959267,Bu,-17.214281, ,-17.686422,B,-18.049496,Ö,-18.0627,Y,-18.114208,"""E",-18.366426,C,-18.403936,S,-18.457449,2,assistant,1714194798,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IUf8H5Yb3CJrJKZwYHw2WnXrihFs,length,0,1,-0.0012547537,1,-0.0012547537,2,-6.683616,**,-13.398968,E,-13.813988,"
",-16.579582, ,-17.160082,3,-17.443754,İ,-17.886763,Ç,-18.090635,0,-18.794998,`,-18.96599,Po,-19.24493,Bu,-19.668545,\(,-19.736023,ç,-19.934793,Ö,-20.12001,4,-20.158144,C,-20.169268,***,-20.299948,P,-20.41925,1,assistant,1714194798,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IUf9kPuphanLR6atsuIVoIJgG4fH,length,0,1,-0.03751666,1,-0.03751666,2,-3.301776,Et,-13.48828,**,-13.615237,E,-14.375377,"
",-14.782565,Po,-16.410902,İ,-17.206726,3,-17.598257, ,-18.319378,Ç,-18.481049,\(,-18.905916,Pat,-19.258575,The,-19.305798,Bu,-19.503958,`,-19.590115,B,-19.744587,0,-19.752018,S,-20.004412,P,-20.304838,1,assistant,1714194799,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,,,
